year,line,ship,start_date,end_date,symptoms,cause
2011,Holland America Line,ms Maasdam,12/23/11,1/2/11,"vomiting, diarrhea",Norovirus
2011,Norwegian Cruise Line,Norwegian Spirit,12/18/11,12/25/11,"vomiting, diarrhea",Norovirus
2011,Holland America Line,ms Ryndam,12/11/11,12/18/11,"vomiting, diarrhea",Norovirus
2011,Celebrity Cruises,Celebrity Solstice,11/28/11,12/11/11,"vomiting, diarrhea",Norovirus
2011,Holland America Line,ms Ryndam,11/3/11,11/20/11,"vomiting, diarrhea",Norovirus
2011,Princess Cruises,Sea Princess,5/30/11,6/9/11,"vomiting, diarrhea",Norovirus
2011,Lindblad Expeditions,National Geographic Sea Lion,5/21/11,5/28/11,"vomiting, diarrhea",Unknown
2011,Princess Cruises,Sea Princess,5/20/11,5/30/11,"vomiting, diarrhea",Norovirus
2011,Celebrity Cruises,Celebrity Millennium,5/20/11,5/27/11,"vomiting, diarrhea",Unknown
2011,Princess Cruises,Coral Princess,5/4/11,5/19/11,diarrhea,Norovirus
2011,Princess Cruises,Coral Princess,4/24/11,5/4/11,diarrhea,Enterotoxigenic E. coli (ETEC)
2011,Oceania Cruises,MV Marina,2/26/11,3/15/11,diarrhea with some fever and vomiting,Enterotoxigenic E. coli (ETEC)
2011,Celebrity Cruises,Celebrity Solstice,1/30/11,2/6/11,diarrhea and vomiting,Norovirus
2011,Royal Caribbean Cruise Line,Radiance of the Seas,1/3/11,1/8/11,diarrhea and vomiting,Norovirus
2010,Cunard Cruise Line,Queen Mary 2,12/19/10,01/03/2011/2010,diarrhea and vomiting,Unknown
2010,Crystal Cruises,Crystal Symphony,11/2/10,11/21/10,diarrhea and vomiting,Unknown
2010,Holland America Line,Nieuw Amsterdam,10/18/10,11/7/10,diarrhea and vomiting,Norovirus
2010,Carnival Cruise Line,Carnival Glory,10/9/10,10/16/10,diarrhea and vomiting,Norovirus
2010,Holland America Line,Zuiderdam,4/20/10,5/8/10,diarrhea and vomiting,Unknown
2010,Celebrity Cruises,Mercury,3/8/10,3/19/10,diarrhea and vomiting,Norovirus
